nom,image,lien,ville,categorie,note,nombre_de_votes,prix,description
Rallye gourmand à Biarritz - City game digital,https://www.babasport.fr/images/uploads/activity_attachment/path/34675/gourmand2__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/7135-rallye-gourmand-biarritz-particuliers-team-building,Biarritz et Bayonne,Activités insolites,4.0,2,33 €,"
Plongez dans l'univers délicieux de la cuisine en vous lançant dans des défis excitants directement depuis vos smartphones et ce, tout au long de votre parcours. Explorez les délices culinaires de la région tout en parcourant la ville ! Entre les arrêts dégustations et les défis ludiques et gourmands, vous allez devoir faire preuve d'esprit d'équipe tout au long de l'activité ! Chaque défi ajoutera une touche ludique à votre aventure gastronomique.Le principe est simple : 
- Vous serez en équipes composées de 2 à 5 personnes.- Chaque équipe évolue en autonomie et arpente les rues grâce à la géolocalisation. Vous vous rendez sur les points d'intérêt pour accéder aux différents défis.
Ce qui vous attend : 

1 à 2 Arrêts dégustations sur le parcours ;
Quiz et QCM ;
Blind test ;
Défis photos sur la gastronomie ;
Culture générale, anecdotes insolites, actualités gourmandes liées à la ville ;
Défis fun et créatifs !
Expérience gastronomique et compétitive : chaque équipe joue avec l’objectif de remporter le plus de points.

Laissez votre appétit vous guider dans ce rallye culinaire qui vous réserve de délicieuses surprises et des défis à relever. À vos fourchettes, prêts, partez !
"
Escape Game Outdoor avec GoPro à Bordeaux,https://www.babasport.fr/images/uploads/activity_attachment/path/17685/6__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/1772-escape-game-outdoor-avec-gopro-a-bordeaux,Bordeaux,Activités urbaines,4.7,30,18 €,"
🕵️‍♀️ L'Escape Game nouvelle génération à Bordeaux ! Parcourez les rues de la ville équipés d'une carte, d’un téléphone pour recevoir des vidéos et d'une GoPro pour que le Game Master suive votre session !🎥
Entre patrimoine, découverte, et adrénaline, plongez au cœur de la ville pour résoudre toutes les énigmes en moins d'une heure !🧭
🎉 Formule EVG/EVJF
Choisissez entre rester ensemble ou former 2 équipes en compétition, ambiance Pékin Express garantie !🏃🏃
Le petit : Repartez avec la vidéo de l’aventure de la future mariée !C’est l’occasion de se retrouver quelques jours après la session pour revivre l’heure de jeu…Et avoir des séquences pour le mariage !!!💒
🏛️ Team Building
Formez des équipes entre 6 et 10 participants, et affrontez vos collègues sur notre parcours. Ambiance Pékin Express / La Carte au trésor garanti !🗺️🪙Le jeu dure 1h. Comptez 30 minutes supplémentaires pour le briefing et le débriefing, qui seront animés par un Game Master.🕵️
1 GoPro sera fournie aux participants volontaires afin de filmer ce moment ! Vous repartirez alors avec la carte SD remplie de souvenirs !📹
"
Atelier création d'un vin rouge en équipe à Bordeaux,https://www.babasport.fr/images/uploads/activity_attachment/path/22530/olalabordeaux-cauchemar-au-chateau-7.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/5267-atelier-creation-d-un-vin-rouge-en-equipe-a-bordeaux,Bordeaux,Activités urbaines,4.5,2,55 €,"
Lancez-vous dans un jeu de cohésion grandeur nature durant lequel plusieurs équipes élaborent leur propre cuvée, créent leur étiquette et tentent de redorer l’image d’un Château (propriété viticole bordelaise) laissé à l’abandon. Pour constituer une équipe, il faut au minimum 2 participants.
Après dégustation et présentation des projets, le très pointilleux jury final élira l’équipe gagnante. Les participants repartiront avec leurs bouteilles étiquetées et embouteillées, … et le corps enivré par tous ces doux breuvages !
L’activité dure 2h30 et se déroule en plein cœur historique de Bordeaux.
Apprentissage et bonne ambiance garantis, entre collègues, en famille ou entre amis ! Inclus: un.e animateur.trice spécialiste du vignoble bordelais, une présentation introductive du vignoble bordelais, les vins, une planche mixte charcuteries et fromages par personne. Il est possible d’inclure un déjeuner convivial qui se déroulera dans nos locaux après le jeu. L'atelier peut également être suivi d'un tour guidé dans un ou plusieurs Châteaux du vignoble bordelais dans l'après-midi. Demandez un devis.
3 raisons de faire cette activité :

Activité en plein cœur de Bordeaux.
Améliorez vos connaissances viticoles.
Accord mets et vins (planches charcuteries & fromages).

 
"
Lancer de haches à Bordeaux  ,https://www.babasport.fr/images/uploads/activity_attachment/path/4659/lancer_de_hache_bordeaux.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/1205-lancer-de-haches-a-bordeaux,Bordeaux,Activités insolites,4.22,9,18 €,"
Découvrez le tout premier centre de lancer de haches en Gironde et venez vous défouler !  Vous deviendrez un bûcheron chevronné grâce aux conseils de nos instructeurs, qui vous accompagneront durant toute la session, avec leur bonne humeur légendaire.
Arriverez-vous à atteindre le centre de la cible ? Cette activité est idéale pour un EVG/EVJF, un team building, un moment entre amis, un anniversaire, un afterwork, et pourquoi pas un rendez-vous galant !
"
Rallye photo à Bordeaux - City Game Digital,https://www.babasport.fr/images/uploads/activity_attachment/path/32961/D%C3%A9fi_cr%C3%A9activit%C3%A9_2.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6912-rallye-photo-bordeaux-particuliers-team-building,Bordeaux,Activités insolites,4.0,2,20 €,"
À la recherche d'une expérience photographique inoubliable ? Découvrez notre rallye photo qui allie de l'exploration, de la découverte et du fun. Vous explorerez une dizaine d'étapes en ville, passant par les plus beaux lieux d'intérêt. À chaque étape, relevez deux challenges : capturez une photo particulière de votre groupe et un défi lié à la culture et aux techniques photographiques. Chaque défi vous mènera vers un lieu emblématique, parfait pour immortaliser des moments inoubliables et époustouflants !

Sur une dizaine d'étapes en ville, vous devrez créer une photo, soyez le plus créatif possible !
Vous allez mettre votre culture photographique à l'épreuve avec une série de défis exigeants, incluant des hommages à des photos emblématiques et des techniques innovantes. 
On vous apprend à prendre les plus belles photos, même avec un simple smartphone. On vous donne les clés pour développer une nouvelle compétence qui stimule votre créativité !
Attendez vous à des surprises tout au long du parcours pour pimenter l'aventure !

Ce qui vous attend :

Des défis photos, quelques QCM et énigmes bonus ;
2 à 5 personnes par équipe en configuration recommandée ;
1h30 à 3h d'activité.

Activité possible à faire en Français et en Anglais.
"
Rallye gourmand à Bordeaux - City game digital,https://www.babasport.fr/images/uploads/activity_attachment/path/34633/gourmand7__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/7129-rallye-gourmand-bordeaux-particuliers-team-building,Bordeaux,Activités insolites,4.0,2,33 €,"
Plongez dans l'univers délicieux de la cuisine en vous lançant dans des défis excitants directement depuis vos smartphones et ce, tout au long de votre parcours. Explorez les délices culinaires de la région tout en parcourant la ville ! Entre les arrêts dégustations et les défis ludiques et gourmands, vous allez devoir faire preuve d'esprit d'équipe tout au long de l'activité ! Chaque défi ajoutera une touche ludique à votre aventure gastronomique.Le principe est simple : 
- Vous serez en équipes composées de 2 à 5 personnes.- Chaque équipe évolue en autonomie et arpente les rues grâce à la géolocalisation. Vous vous rendez sur les points d'intérêt pour accéder aux différents défis.
Ce qui vous attend : 

1 à 2 Arrêts dégustations sur le parcours ;
Quiz et QCM ;
Blind test ;
Défis photos sur la gastronomie ;
Culture générale, anecdotes insolites, actualités gourmandes liées à la ville ;
Défis fun et créatifs !
Expérience gastronomique et compétitive : chaque équipe joue avec l’objectif de remporter le plus de points.

Laissez votre appétit vous guider dans ce rallye culinaire qui vous réserve de délicieuses surprises et des défis à relever. À vos fourchettes, prêts, partez !
"
City game digital à Bordeaux - Jeu de piste et défis,https://www.babasport.fr/images/uploads/activity_attachment/path/33930/Photo_de_groupe_12__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/7043-city-game-digital-bordeaux-jeu-interactif-culturef-competitif,Bordeaux,Activités insolites,4.0,2,20 €,"
Envie de vivre une expérience excitante en autonomie en explorant la ville ? Que ce soit à travers une balade culturelle ou en relevant des défis palpitants en compétition, découvrez une activité idéale pour des sorties entre amis ou en famille mais aussi pour des Team Building pour renforcer la cohésion d'équipe, stimuler la communication et mettre en avant votre marque employeur !
On vous propose 2 modes de jeu aussi divertissants les uns que les autres, à vous de choisir :

City game culturel et convivial : balade culturelle pour ceux qui cherchent à parcourir la ville tranquillement. Vous découvrirez le centre et visiterez les différents points d'intérêts intégrés à notre plateforme de jeu. Chaque point d'intérêt contiendra un descriptif culturel et historique et des défis en lien avec le lieu visité (patrimoine, culture générale, anecdotes insolites et actualité liée à la ville) ;
City game compétitif et challengeant : si vous êtes de grands compétiteurs, vous devez choisir cette option. Plus de 30 étapes et autant de challenges, une course contre la montre vous attend, comme le format culturel mais avec un fonctionnement plus compétitif et sportif. Vous aurez un temps limité pour vous rendre sur certaines balises, rencontrer des challenges pour les relever avec tactique et stratégie. L'objectif : réaliser le plus de défis possible en un minimum de temps ! (bonus, malus, questions funs et décalées). Préparez-vous à une bonne dose d'adrénaline !

Ce qu'il faut savoir :- Les défis qui vous attendent : QCM, questions ouvertes, blind-tests, défis photo...- 2 à 5 personnes par équipe.- L'activité se fait avec vos smartphones/tablettes sur demande pour les entreprises.- 1h30 à 3h d'activité. 
Activité possible à faire en Français et en Anglais.
"
Accrobranche à Deauville et parcours tyrolienne,https://www.babasport.fr/images/uploads/activity_attachment/path/27209/DSC_0337__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/571-accrobranche-et-parcours-tyrolienne-pres-de-deauville,Deauville,Activité Sportive,4.49,47,12 €,"
Prenez de la hauteur au cœur d’un domaine forestier privé et profitez des différents parcours qu’offre ce nouveau terrain d’activités. 
Deux parcours accessibles avec des ateliers différents pour profiter au maximum et un parcours niveau difficile pour les plus téméraires. Sans oublier le parcours tyrolienne, composé de 9 plateformes pour une maxi descente à travers la forêt !
Informations importantes concernant l'activité :

Prêt du matériel : baudriers, casques.
Chaussures fermées obligatoires.
Tenue sportive confortable adaptée à la météo conseillée.

"
Escape Game Outdoor avec GoPro à Deauville,https://www.babasport.fr/images/uploads/activity_attachment/path/23017/6__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/5348-escape-game-outdoor-avec-gopro-a-deauville,Deauville,Activités urbaines,4.0,1,18 €,"
🕵️‍♀️ L'Escape Game nouvelle génération à Bordeaux ! Parcourez les rues de la ville équipés d'une carte, d’un téléphone pour recevoir des vidéos et d'une GoPro pour que le Game Master suive votre session !🎥
Entre patrimoine, découverte, et adrénaline, plongez au cœur de la ville pour résoudre toutes les énigmes en moins d'une heure !🧭
🎉 Formule EVG/EVJF
Choisissez entre rester ensemble ou former 2 équipes en compétition, ambiance Pékin Express garantie !🏃🏃
Le petit : Repartez avec la vidéo de l’aventure de la future mariée !C’est l’occasion de se retrouver quelques jours après la session pour revivre l’heure de jeu…Et avoir des séquences pour le mariage !!!💒
🏛️ Team Building
Formez des équipes entre 6 et 10 participants, et affrontez vos collègues sur notre parcours. Ambiance Pékin Express / La Carte au trésor garanti !🗺️🪙Le jeu dure 1h. Comptez 30 minutes supplémentaires pour le briefing et le débriefing, qui seront animés par un Game Master.🕵️
1 GoPro sera fournie aux participants volontaires afin de filmer ce moment ! Vous repartirez alors avec la carte SD remplie de souvenirs !📹
"
Balade insolite en moto sidecar vintage à Deauville,https://www.babasport.fr/images/uploads/activity_attachment/path/12775/HS_9958-Modifier__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/3048-balade-sidecar-vintage-deauville,Deauville,Activités urbaines,4.92,12,99 €,"
Que vous soyez un amateur d’histoire, rêvant de découvrir les secrets des plages du débarquement, ou un amoureux des voyages souhaitant apprécier les merveilles de la Côte Fleurie, nos side-cars sauront vous transporter au cœur des trésors de la Normandie.
Un tour en side-car est une expérience unique qui vous laissera de magnifiques souvenirs et de superbes photos. Et votre pilote/guide vous racontera l'histoire de la ville et de la région.
Vous serez conduit en toute sécurité à travers les villes, avec de nombreux arrêts photos.Chaque side-car à la place pour 2 passagers (1 dans le panier / 1 derrière le pilote) avec votre guide privé. C'est pour cette raison que votre tour sera un souvenir magique et inoubliable.
1 side-car = 2 passagers + votre guide.
"
Les Maîtres du Fort à Deauville ,https://www.babasport.fr/images/uploads/activity_attachment/path/31834/Les-Maitres-du-Fort__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6810-fort-boyard-maitre-fort-deauville,Deauville,Activités urbaines,4.69,123,19 €,"
Préparez-vous à défier vos limites et à briller dans une heure d'épreuves mêlant force et intelligence !Pendant une heure, vous devrez faire preuve à la fois de force et de logique en participant à des épreuves telles que des énigmes, un duel de poids, un duel des paires, un jeu des baguettes, un aquarium et un tangram. Chaque participant contribuera à accumuler des clés, du temps et des boyards pour son équipe, afin de déclencher l'épreuve finale et de mener son équipe à la victoire

Revivez les épreuves mythiques d’un célèbre jeu télévisé !
1h de jeu encadré par nos animateurs
Participants : de 6 à 24 joueurs / de 2 à 4 équipes

3 raisons de faire cette activité : 

Dépassement de soi et amusement 
Retour en enfance 
Rassemblement des équipes dans une atmosphère de compétition 

"
Les Défis des 5 sens à Deauville ,https://www.babasport.fr/images/uploads/activity_attachment/path/32211/Fond-logo-Les-Defis-des-5-Sens__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6809-defis-5-sens-deauville,Deauville,Activités urbaines,4.0,1,19 €,"
Et si le temps d’une journée vous étiez privés de vos sens ou que l’on venait les titiller ?C’est ce que nous vous proposons avec ce jeu insolite. Dans une ambiance ludique et conviviale, vous devrez par équipe effectuer des épreuves sensorielles pour récolter un maximum de points.Votre arme pour réussir cette expérience sensorielle ? Faire confiance à votre 6ème sens !Au programme : Blind Test (Films ou Musiques), nez du Vin, dégustation à l'aveugle, jeu de Kim, Memory…

Vue, toucher, ouïe, goût, odorat… tous vos sens seront sollicités !
1h de jeu encadré par nos animateurs passionnés
Participants : de 6 à 24 joueurs / de 2 à 4 équipes

"
Rallye photo à Deauville - City Game Digital,https://www.babasport.fr/images/uploads/activity_attachment/path/32945/D%C3%A9fi_cr%C3%A9activit%C3%A9_2.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6910-rallye-photo-deauville-particuliers-team-building,Deauville,Activités insolites,4.0,2,14 €,"
À la recherche d'une expérience photographique inoubliable ? Découvrez notre rallye photo qui allie de l'exploration, de la découverte et du fun. Vous explorerez une dizaine d'étapes en ville, passant par les plus beaux lieux d'intérêt. À chaque étape, relevez deux challenges : capturez une photo particulière de votre groupe et un défi lié à la culture et aux techniques photographiques. Chaque défi vous mènera vers un lieu emblématique, parfait pour immortaliser des moments inoubliables et époustouflants !

Sur une dizaine d'étapes en ville, vous devrez créer une photo, soyez le plus créatif possible !
Vous allez mettre votre culture photographique à l'épreuve avec une série de défis exigeants, incluant des hommages à des photos emblématiques et des techniques innovantes. 
On vous apprend à prendre les plus belles photos, même avec un simple smartphone. On vous donne les clés pour développer une nouvelle compétence qui stimule votre créativité !
Attendez vous à des surprises tout au long du parcours pour pimenter l'aventure !

Ce qui vous attend :

Des défis photos, quelques QCM et énigmes bonus ;
2 à 5 personnes par équipe en configuration recommandée ;
1h30 à 3h d'activité.

Activité possible à faire en Français et en Anglais.
"
Murder Party - Cluedo géant à Lille,https://www.babasport.fr/images/uploads/activity_attachment/path/15770/Murder_Party_a__Montpellier_pour_Team_Building-1.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/3897-murder-party-lille-pour-team-building,Lille,Activités urbaines,,,1 450 €,"
Faites vivre une expérience ludique et mystérieuse à vos collaborateurs !
Notre Bureau d'Enquêtes vous propose de proposer à vos équipes de relever le défi de résoudre un cold case inédit, spécialement conçu pour tester votre sagacité et votre esprit analytique. 
Votre mission est de fouiller les moindres recoins, à rechercher les indices cachés, à faire parler les pièces à conviction silencieuses et à profiler les suspects potentiels.
3 raisons de faire cette activité : 

Changement de rythme quotidien de travail
Renforcement de la résolution des problèmes 
Créer des souvenirs mémorables 

"
Food tour à Lille,https://www.babasport.fr/images/uploads/activity_attachment/path/23470/IMG20211127145121.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/4986-food-tour-a-lille,Lille,Activités urbaines,4.5,2,49 €,"
Visite gastronomique de Lille à pied :
Vous voulez réserver un circuit gastronomique privé avec votre équipe ou votre famille ? Réalisons votre souhait.
Veuillez préciser si vous avez des allergies ou des restrictions alimentaires.
Au programme ? Des spécialités de la région bien sûr mais pas seulement ! Les meilleures frites de la ville, de la bonne charcuterie, du fromage, locaux, le meilleur burger de Lille et d'autres surprises !
Les végétariens sont les bienvenus. Les dégustations peuvent varier.
"
Jeu de Quiz - Lille,https://www.babasport.fr/images/uploads/activity_attachment/path/25077/Quiz_original_3.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/3953-jeu-decor-de-plateau-tele-lille,Lille,Activités insolites,4.33,3,22 €,"
Profitez d’une activité insolite en jouant au premier quiz immersif dans un décor digne des plus grands plateaux télé ! Rigolade assurée, comme au Burger Quiz. Nos salles peuvent accueillir jusqu'à 18 joueurs.
Avec les 3 manches, les jokers et les questions signatures, tout le monde peut gagner jusqu'au dernier buzz. Le Jour J à vous de choisir les questions parmi 6 thèmes :

Sport.
Vie quotidienne.
Société.
Premier de la classe.
Musique.
Cinéma et séries.

Il n'est pas nécessaire d'être le roi de la culture générale pour s'amuser dans ce jeu ! Les questions sont accessibles à tous et le plus souvent tirées de la culture populaire. Pour les plus téméraires, il est possible d'augmenter le niveau de difficulté des questions.
En option, pour les EVG, EVJF, anniversaires ou toute autre occasion, il est possible d'intégrer des questions personnalisées dans le jeu ! Pour cela, vous pourrezrédiger vos propres questions. Une session de quiz comprend 2 parties de 30 à 40 minutes chacune.
Activité possible en anglais.
"
Atelier création de parfum à Lille,https://www.babasport.fr/images/uploads/activity_attachment/path/22094/2-2.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/5195-atelier-de-creation-de-parfum-a-lille,Lille,Activités insolites,5.0,3,110 €,"
Votre parfum sur mesure !
Découvrez le métier de parfumeur, les anecdotes, et les accords célèbres.
Venez réaliser un accord parfumé avec l'aide du parfumeur (flacon spray 30 ml). Une véritable immersion dans l’univers de la création de parfums sur mesure dans un hôtel particulier classé dans le Vieux Lille, où se trouve l'atelier.
Atelier création de parfum.
Cet atelier se déroule en 2 temps. Plongez au coeur du métier de parfumeur et initiez-vous aux odeurs et aux matières premières qui composent les parfums que nous connaissons.
Créez votre parfum avec l’aide du parfumeur. Vous sélectionnerez vos ingrédients et leur quantité, vous écrirez et peserez la formule de votre parfum pour repartir avec une composition originale de 30mL.
Possibilité de privatiser l'atelier. Pour Les Team Building, demandez un devis. DEMANDER UN DEVIS.
3 raisons de faire cette activité :

Convivialité.
Lieu d'accueil en plein centre dans un monument classé.
Disponibilités.

Notre atelier se situe au premier étage sans ascenseur.
"
Rallye photo à Lille - City Game Digital,https://www.babasport.fr/images/uploads/activity_attachment/path/32969/D%C3%A9fi_cr%C3%A9activit%C3%A9_2.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/6913-rallye-photo-lille-particuliers-team-building,Lille,Activités insolites,4.0,2,20 €,"
À la recherche d'une expérience photographique inoubliable ? Découvrez notre rallye photo qui allie de l'exploration, de la découverte et du fun. Vous explorerez une dizaine d'étapes en ville, passant par les plus beaux lieux d'intérêt. À chaque étape, relevez deux challenges : capturez une photo particulière de votre groupe et un défi lié à la culture et aux techniques photographiques. Chaque défi vous mènera vers un lieu emblématique, parfait pour immortaliser des moments inoubliables et époustouflants !

Sur une dizaine d'étapes en ville, vous devrez créer une photo, soyez le plus créatif possible !
Vous allez mettre votre culture photographique à l'épreuve avec une série de défis exigeants, incluant des hommages à des photos emblématiques et des techniques innovantes. 
On vous apprend à prendre les plus belles photos, même avec un simple smartphone. On vous donne les clés pour développer une nouvelle compétence qui stimule votre créativité !
Attendez vous à des surprises tout au long du parcours pour pimenter l'aventure !

Ce qui vous attend :

Des défis photos, quelques QCM et énigmes bonus ;
2 à 5 personnes par équipe en configuration recommandée ;
1h30 à 3h d'activité.

Activité possible à faire en Français et en Anglais.
"
Rallye gourmand à Lille - City game digital,https://www.babasport.fr/images/uploads/activity_attachment/path/34640/gourmand7__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/7130-rallye-gourmand-lille-particuliers-team-building,Lille,Activités insolites,4.0,2,21 €,"
Plongez dans l'univers délicieux de la cuisine en vous lançant dans des défis excitants directement depuis vos smartphones et ce, tout au long de votre parcours. Explorez les délices culinaires de la région tout en parcourant la ville ! Entre les arrêts dégustations et les défis ludiques et gourmands, vous allez devoir faire preuve d'esprit d'équipe tout au long de l'activité ! Chaque défi ajoutera une touche ludique à votre aventure gastronomique.Le principe est simple : 
- Vous serez en équipes composées de 2 à 5 personnes.- Chaque équipe évolue en autonomie et arpente les rues grâce à la géolocalisation. Vous vous rendez sur les points d'intérêt pour accéder aux différents défis.
Ce qui vous attend : 

1 à 2 Arrêts dégustations sur le parcours ;
Quiz et QCM ;
Blind test ;
Défis photos sur la gastronomie ;
Culture générale, anecdotes insolites, actualités gourmandes liées à la ville ;
Défis fun et créatifs !
Expérience gastronomique et compétitive : chaque équipe joue avec l’objectif de remporter le plus de points.

Laissez votre appétit vous guider dans ce rallye culinaire qui vous réserve de délicieuses surprises et des défis à relever. À vos fourchettes, prêts, partez !
"
Escape Game Outdoor avec GoPro à Lyon,https://www.babasport.fr/images/uploads/activity_attachment/path/17691/6__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/4273-escape-game-outdoor-avec-gopro-a-lyon,Lyon,Activités urbaines,4.67,3,18 €,"
🕵️‍♀️ L'Escape Game nouvelle génération à Bordeaux ! Parcourez les rues de la ville équipés d'une carte, d’un téléphone pour recevoir des vidéos et d'une GoPro pour que le Game Master suive votre session !🎥
Entre patrimoine, découverte, et adrénaline, plongez au cœur de la ville pour résoudre toutes les énigmes en moins d'une heure !🧭
🎉 Formule EVG/EVJF
Choisissez entre rester ensemble ou former 2 équipes en compétition, ambiance Pékin Express garantie !🏃🏃
Le petit : Repartez avec la vidéo de l’aventure de la future mariée !C’est l’occasion de se retrouver quelques jours après la session pour revivre l’heure de jeu…Et avoir des séquences pour le mariage !!!💒
🏛️ Team Building
Formez des équipes entre 6 et 10 participants, et affrontez vos collègues sur notre parcours. Ambiance Pékin Express / La Carte au trésor garanti !🗺️🪙Le jeu dure 1h. Comptez 30 minutes supplémentaires pour le briefing et le débriefing, qui seront animés par un Game Master.🕵️
1 GoPro sera fournie aux participants volontaires afin de filmer ce moment ! Vous repartirez alors avec la carte SD remplie de souvenirs !📹
"
Visite théâtrale et gourmande des Halles Paul Bocuse à Lyon ,https://www.babasport.fr/images/uploads/activity_attachment/path/9609/cybele-halles-1_credits_Charles_Pietri__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/2364-visite-theatrale-et-gourmande-des-halles-paul-bocuse-a-lyon,Lyon,Activités insolites,4.67,3,65 €,"
Cette visite théâtralisée des Halles Paul Bocuse vous emmènera au coeur de la grande tradition de la gastronomie lyonnaise.
Cette découverte décalée du célèbre “ventre de Lyon” vous permettra de rencontrer des personnages incontournables tels que la mère Brazier ou des Italiens de la Renaissance. Ils vous diront avec fierté ce qu’ils ont apporté à la cuisine lyonnaise. Embarquez pour ce voyage dans l’histoire de Lyon, au temps des canuts* et de leur célèbre mâchon*, ou à la Renaissance, à la découverte des tripes et des macarons !
Ce parcours dans les Halles de Lyon est ponctué de dégustations salées et sucrées : quenelles et gratin de cardon, charcuteries lyonnaises accompagnée de 2 verres de vin, fromages locaux, l’incontournable praline, mais aussi des macarons et les célèbres coussins lyonnais.
Vous découvrirez ainsi la gastronomie lyonnaise de façon ludique, dynamique et humoristique !
* canut : tisseur de soie.* mâchon : “brunch” à la lyonnaise.
"
Bubble Foot en intérieur à Saint-Priest - Rhône - Lyon,https://www.babasport.fr/images/uploads/activity_attachment/path/18940/Bubble_Foot_a__proximite__de_lyon_-_rhone_1__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/703-bubble-foot-a-lyon,Lyon,Activités Lyon,4.57,7,249 €,"
Le Bubble Foot est un concept hilarant de football en 4 VS. 4 où vous pourrez à l'aide de grosses bulles protectrices, foncer dans vos adversaires et les envoyer valser !Éclate, fous rires, chocs sans risques, sport, fun et loisir sont les maîtres mots de ce nouveau sport ludique. Rassurez-vous, cela se fait en toute sécurité et l'activité ne présente aucun danger. Les seuls risques existants sont les crises de fous rires que vous allez avoir et qui vous empêcheront peut être de jouer ;)
Tout âge, tout sexe, sportif ou non, que vous aimiez le football ou non, que vous soyez comparable à Zidane ou pas du tout, le Bubble Football convient à tout le monde !
3 raisons de faire cette activité :

Vous allez voir que ça reste très sportif !
Fous rires garantis !
Un matériel de qualité. 

"
City game digital à Lyon - Jeu de piste et défis,https://www.babasport.fr/images/uploads/activity_attachment/path/33923/Photo_de_groupe_12__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/7042-city-game-digital-lyon-jeu-interactif-culturef-competitif,Lyon,Activités insolites,4.0,2,20 €,"
Envie de vivre une expérience excitante en autonomie en explorant la ville ? Que ce soit à travers une balade culturelle ou en relevant des défis palpitants en compétition, découvrez une activité idéale pour des sorties entre amis ou en famille mais aussi pour des Team Building pour renforcer la cohésion d'équipe, stimuler la communication et mettre en avant votre marque employeur !
On vous propose 2 modes de jeu aussi divertissants les uns que les autres, à vous de choisir :

City game culturel et convivial : balade culturelle pour ceux qui cherchent à parcourir la ville tranquillement. Vous découvrirez le centre et visiterez les différents points d'intérêts intégrés à notre plateforme de jeu. Chaque point d'intérêt contiendra un descriptif culturel et historique et des défis en lien avec le lieu visité (patrimoine, culture générale, anecdotes insolites et actualité liée à la ville) ;
City game compétitif et challengeant : si vous êtes de grands compétiteurs, vous devez choisir cette option. Plus de 30 étapes et autant de challenges, une course contre la montre vous attend, comme le format culturel mais avec un fonctionnement plus compétitif et sportif. Vous aurez un temps limité pour vous rendre sur certaines balises, rencontrer des challenges pour les relever avec tactique et stratégie. L'objectif : réaliser le plus de défis possible en un minimum de temps ! (bonus, malus, questions funs et décalées). Préparez-vous à une bonne dose d'adrénaline !

Ce qu'il faut savoir :- Les défis qui vous attendent : QCM, questions ouvertes, blind-tests, défis photo...- 2 à 5 personnes par équipe.- L'activité se fait avec vos smartphones/tablettes sur demande pour les entreprises.- 1h30 à 3h d'activité. 
Activité possible à faire en Français et en Anglais.
"
Rallye gourmand à Lyon - City game digital,https://www.babasport.fr/images/uploads/activity_attachment/path/34626/gourmand7__1_.jpg?fit=scale-down&format=auto&metadata=none&quality=80&width=350,/activites/7128-rallye-gourmand-lyon-particuliers-team-building,Lyon,Activités insolites,4.0,2,33 €,"
Plongez dans l'univers délicieux de la cuisine en vous lançant dans des défis excitants directement depuis vos smartphones et ce, tout au long de votre parcours. Explorez les délices culinaires de la région tout en parcourant la ville ! Entre les arrêts dégustations et les défis ludiques et gourmands, vous allez devoir faire preuve d'esprit d'équipe tout au long de l'activité ! Chaque défi ajoutera une touche ludique à votre aventure gastronomique.Le principe est simple : 
- Vous serez en équipes composées de 2 à 5 personnes.- Chaque équipe évolue en autonomie et arpente les rues grâce à la géolocalisation. Vous vous rendez sur les points d'intérêt pour accéder aux différents défis.
Ce qui vous attend : 

1 à 2 Arrêts dégustations sur le parcours ;
Quiz et QCM ;
Blind test ;
Défis photos sur la gastronomie ;
Culture générale, anecdotes insolites, actualités gourmandes liées à la ville ;
Défis fun et créatifs !
Expérience gastronomique et compétitive : chaque équipe joue avec l’objectif de remporter le plus de points.

Laissez votre appétit vous guider dans ce rallye culinaire qui vous réserve de délicieuses surprises et des défis à relever. À vos fourchettes, prêts, partez !
"
